,scores,
1,0,0
2,0,0
3,0,0
4,0,0
5,-1,-1
6,0,0
7,0,0
8,1,1
9,0,0
10,-1,-1
11,1,1
12,1,1
13,1,1
14,-1,-1
15,1,1
16,1,1
17,0,0
18,0,0
19,1,1
20,0,0
21,0,0
22,0,0
23,1,1
24,1,1
25,0,0
26,1,1
27,1,1
28,0,0
29,-1,-1
30,0,0
31,0,0
32,2,1
33,0,0
34,1,1
35,-2,-1
36,1,1
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,2,1
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,-4,-1
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,-2,-1
61,1,1
62,0,0
63,0,0
64,0,0
65,-1,-1
66,0,0
67,1,1
68,0,0
69,2,1
70,-1,-1
71,0,0
72,-1,-1
73,0,0
74,-1,-1
75,0,0
76,0,0
77,0,0
78,0,0
79,2,1
80,2,1
81,0,0
82,-1,-1
83,1,1
84,0,0
85,0,0
86,2,1
87,0,0
88,0,0
89,1,1
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,-1,-1
96,0,0
97,-1,-1
98,0,0
99,0,0
100,1,1
101,0,0
102,0,0
103,-1,-1
104,1,1
105,0,0
106,0,0
107,0,0
108,-1,-1
109,0,0
110,1,1
111,0,0
112,-2,-1
113,0,0
114,0,0
115,0,0
116,-1,-1
117,1,1
118,1,1
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,-2,-1
125,0,0
126,-1,-1
127,0,0
128,-1,-1
129,0,0
130,0,0
131,-2,-1
132,0,0
133,0,0
134,1,1
135,0,0
136,1,1
137,1,1
138,-2,-1
139,0,0
140,0,0
141,-1,-1
142,-1,-1
143,0,0
144,-1,-1
145,0,0
146,1,1
147,-1,-1
148,0,0
149,0,0
150,1,1
151,1,1
152,1,1
153,-1,-1
154,0,0
155,1,1
156,0,0
157,1,1
158,0,0
159,-1,-1
160,0,0
161,0,0
162,0,0
163,1,1
164,0,0
165,1,1
166,0,0
167,-1,-1
168,0,0
169,0,0
170,0,0
171,0,0
172,-1,-1
173,0,0
174,1,1
175,0,0
176,-1,-1
177,-1,-1
178,0,0
179,0,0
180,0,0
181,0,0
182,1,1
183,-2,-1
184,-1,-1
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,1,1
191,0,0
192,-1,-1
193,-1,-1
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,-1,-1
201,0,0
202,-1,-1
203,-1,-1
204,0,0
205,-1,-1
206,-1,-1
207,-2,-1
208,0,0
209,0,0
210,2,1
211,1,1
212,-1,-1
213,-1,-1
214,-1,-1
215,0,0
216,-1,-1
217,-1,-1
218,1,1
219,-1,-1
220,0,0
221,1,1
222,1,1
223,0,0
224,-1,-1
225,0,0
226,-1,-1
227,-1,-1
228,0,0
229,1,1
230,0,0
