,scores,,,,,
1,0,0,,,,
2,0,0,,,,
3,0,0,,,,
4,-1,-1,,,,
5,0,0,,,,
6,0,0,,,,
7,0,0,,,,
8,0,0,,,,
9,-1,-1,,,,
10,0,0,,,,
11,-1,-1,,,,
12,1,1,,,,
13,0,0,,,,
14,0,0,,,,
15,-1,-1,,,,
16,1,1,,,,
17,0,0,,,,
18,1,1,,,,
19,1,1,,,,
20,0,0,,,,
21,-1,-1,,,,
22,0,0,,,,
23,0,0,,,,
24,0,0,,,,
25,-1,-1,,,,
26,0,0,,,,
27,-2,-1,,,,
28,0,0,,,,
29,1,1,,,,
30,0,0,,,,
31,0,0,,,,
32,0,0,,,,
33,2,1,,,,
34,2,1,,,,
35,0,0,,,,
36,0,0,,,,
37,-2,-1,,,,
38,0,0,,,,
39,0,0,,,,
40,0,0,,,,
41,0,0,,,,
42,0,0,,,,
43,1,1,,,,
44,-1,-1,,,,
45,0,0,,,,
46,0,0,,,,
47,1,1,,,,
48,2,1,,,,
49,0,0,,,,
50,0,0,,,,
51,0,0,,,,
52,0,0,,,,
53,0,0,,,,
54,0,0,,,,
55,0,0,,,,
56,-1,-1,,,,
57,-1,-1,,,,
58,0,0,,,,
59,0,0,,,,
60,0,0,,,,
61,0,0,,,,
62,1,1,,,,
63,0,0,,,,
64,1,1,,,,
65,0,0,,,,
66,0,0,,,,
67,2,1,,,,
68,-2,-1,,,,
69,0,0,,,,
70,0,0,,,,
71,0,0,,,,
72,1,1,,,,
73,0,0,,,,
74,1,1,,,,
75,0,0,,,,
76,0,0,,,,
77,3,1,,,,
78,-1,-1,,,,
79,0,0,,,,
80,0,0,,,,
81,0,0,,,,
82,-2,-1,,,,
83,0,0,,,,
84,0,0,,,,
85,0,0,,,,
86,-4,-1,,,,
87,0,0,,,,
88,0,0,,,,
89,0,0,,,,
90,0,0,,,,
91,0,0,,,,
92,0,0,,,,
93,0,0,,,,
94,0,0,,,,
95,-2,-1,,,,
96,-1,-1,,,,
97,0,0,,,,
98,0,0,,,,
99,1,1,,,,
100,1,1,,,,
101,0,0,,,,
102,1,1,,,,
103,0,0,,,,
104,2,1,,,,
105,0,0,,,,
106,1,1,,,,
107,2,1,,,,
108,0,0,,,,
109,-4,-1,,,,
110,-1,-1,,,,
111,1,1,,,,
112,0,0,,,,
113,1,1,,,,
114,0,0,,,,
115,0,0,,,,
116,0,0,,,,
117,-1,-1,,,,
118,0,0,,,,
119,-1,-1,,,,
120,0,0,,,,
121,2,1,,,,
122,1,1,,,,
123,-2,-1,,,,
124,-1,-1,,,,
125,-1,-1,,,,
126,1,1,,,,
127,0,0,,,,
128,0,0,,,,
129,0,0,,,,
130,1,1,,,,
131,0,0,,,,
132,-1,-1,,,,
133,-1,-1,,,,
134,0,0,,,,
135,0,0,,,,
136,0,0,,,,
137,2,1,,,,
138,0,0,,,,
139,0,0,,,,
140,0,0,,,,
141,0,0,,,,
142,2,1,,,,
143,0,0,,,,
