Date;User;Retweets;Favourites;Tweet
Sat Dec 12 21:28:48 CET 2015;ADnl;3;0;Ook Barack Obama, David Cameron, Mark Rutte en Sharon Dijksma zijn blij met het in Parijs gesloten klimaatakkoord http://s.ad.nl/4206820 
Sat Dec 12 19:48:43 CET 2015;David_Cameron;397;556;Today's climate change deal means our grandchildren will see we did our duty in securing the future of our planet: https://www.facebook.com/DavidCameronOfficial/posts/1093255924032058 …
Sat Dec 12 19:12:59 CET 2015;yasminsmocha;0;2;fkn David Cameron
Sat Dec 12 13:25:06 CET 2015;voorspelwinnaar;0;0;David Cameron: verschil tussen versies https://nl.wikipedia.org/w/index.php?title=David_Cameron&diff=45510956&oldid=44994954 …
Sat Dec 12 12:48:45 CET 2015;DrGertJanMulder;1;1;David Cameron heeft zijn Britse volk een referendum in het vooruitzicht gesteld. Deze zal worden gehouden voor eind dec 2017 (!) Juajuaaa
Sat Dec 12 11:11:34 CET 2015;PGKroeger;0;1;Thatcheriaanse, uiterst slimme kennisminister onder Cameron pleit tegen #Brexit http://fb.me/70eYmm9lo 
Sat Dec 12 10:10:05 CET 2015;mehdifoundation;333;75;An alarming number of people in the UK are radicalised. Let's stop the terror. Tell @David_Cameron: ban Wahhabism! https://www.change.org/p/rt-hon-david-cameron-mp-ban-wahhabism-in-the-united-kingdom …
Sat Dec 12 09:44:20 CET 2015;JeremyCorbyn4PM;363;154;Support the @DailyMirror campaign to keep the right to lifetime tenancy for council housing tenants. Sign and RT https://www.change.org/p/rt-hon-david-cameron-mp-keep-the-right-to-lifetime-tenancy-for-council-house-tenants …
Sat Dec 12 07:50:10 CET 2015;TomLondon6;118;99;Can former Labour prime minister Tony Blair please launch a ferocious attack on David Cameron who is destroying the fabric of our country?
Fri Dec 11 20:43:53 CET 2015;Harryslaststand;102;74;Whereas #DavidCameron is too busy supping with Saudi King to ever have the conscience to give real help to #refugees http://www.bbc.com/news/world-us-canada-35065008?ocid=socialflow_twitter …
Fri Dec 11 19:10:01 CET 2015;DarrelIrvine4;0;0;Utter genius #DonaldTrump pic.twitter.com/SF2YyWdmMN -- SimonGosden ( @SimonGosden) Yep! @Brendan_Surrey wilw @David_Cameron @paulrogers002
Fri Dec 11 18:12:26 CET 2015;Number10gov;116;310;The PM's Christmas card – David and Samantha Cameron return to 10 Downing Street following the 2015 general election pic.twitter.com/jc8I2JpPtq
Fri Dec 11 13:05:56 CET 2015;de_NVA;0;0;@LuisInDePels_n1 @tijnsadee Op onze Facebookpagina deelden we de voorbije weken gelijkgezinde geluiden. Zie bv.ook http://ow.ly/VKYgL 
Fri Dec 11 13:02:16 CET 2015;drjenniferad;1;3;RT http://twitter.com/nicklessismore/status/675283124847177728 … pic.twitter.com/ZLZbUtvQEf jamieoliver David_Cameron FruitAndVegKids Come on - let's all… http://twitter.com/nicklessismore/status/675283124847177728/photo/1pic.twitter.com/ZLZbUtvQEf 
Fri Dec 11 10:12:33 CET 2015;NewsFromTheSky;0;0;Voor komende zomer geen besluit over derde baan Heathrow: LONDEN - De Britse premier David Cameron he... http://bit.ly/1Y1gTec  #airnews
Fri Dec 11 10:09:38 CET 2015;gjwolfswinkel;0;0;Heeft Engeland een troefkaart in handen in de EU? Deze krant denkt van wel: http://www.telegraph.co.uk/news/politics/david-cameron/12044953/David-Cameron-is-in-danger-of-succumbing-to-a-fantasy-that-Britain-can-save-the-EU.html …
Thu Dec 10 19:03:02 CET 2015;David_Cameron;279;697;Getting into the festive spirit at No10 with some truly inspirational people. pic.twitter.com/tEVgBrXZUS
Thu Dec 10 16:16:10 CET 2015;tvdh_3;0;0;#jihadzaak lol, deze rechtspraak heeft gevolgen voor David Cameron, Hollande, Erdogan en Obama. Deden precies hetzelfde.
Thu Dec 10 14:48:29 CET 2015;EUcorrespondent;1;0;David Cameron krijgt bijval vanuit Oost-Europa voor #hervormingsplannen #EU: http://www.europeescorrespondent.nl/index.php/2015/12/10/bijval-voor-cameron-vanuit-oost-europa/ … pic.twitter.com/tEiiqSkhF2
Thu Dec 10 13:50:17 CET 2015;BNRdewereld;0;0;Verder @Ediwriter over Kim Jong-un, @AnkeTruijen over David Cameron en natuurlijk deelt @martinvisser weer uit!http://www.bnr.nl/radio/bnr-de-wereld/414745-1512/10-december-leidt-de-opkomst-van-china-tot-een-botsing-met-het-westen … #BNR
Thu Dec 10 13:14:37 CET 2015;coenraaddekat;0;0;*Kabinetsbeleid houdt bezoeker weg uit Britse bieb* Sinds David Cameron vijf jaar geleden premier werd van... http://fb.me/70rNTmlPD 
Thu Dec 10 11:42:11 CET 2015;zhey0617;0;1;@MrDDyer @David_Cameron haha genius!
Thu Dec 10 11:20:28 CET 2015;LabourEoin;90;38;Uh Oh! Cameron's claim that the UK foiled 7 terror plots conspired in Syria was a lie. Not 1 plot came from Syria. http://www.independent.co.uk/news/uk/politics/syria-air-strikes-senior-mps-back-alex-salmond-in-disputing-david-camerons-claim-that-seven-uk-a6764491.html …
Thu Dec 10 10:39:54 CET 2015;Birdseye1;0;1;@SarCatStyX @0h0h7 @AdamBomb7869 @BluehandGb @BlueHandUSA @David_Cameron @FCUnion @MayorOfLondon Merkel BO 2012=Allied. Trump GOP 1938=Axis.
Thu Dec 10 09:49:48 CET 2015;Nigel_Farage;535;501;So @David_Cameron now admits net migration at current levels "unsustainable". Only one solution: Leave EU. http://www.bbc.co.uk/news/uk-politics-35055355 …
Thu Dec 10 09:02:34 CET 2015;Ganzendijker;2;0;@Elsevier UK wil ook geen herverdeelde immigranten. Volgens mij is @David_Cameron schijtensbenauwd voor zichzelf geworden. Appeal 4 Trump!
Thu Dec 10 01:17:28 CET 2015;mehdifoundation;531;59;Want to take action against the plague of #Wahhabism? Sign the petitions to get @David_Cameron and @POTUS to ban it! http://www.theawaitedone.com/activities/2015/12/09/ban-wahhabism-in-the-uk-and-usa …
Wed Dec 09 18:55:38 CET 2015;Goedele_C;0;0;@IkStemJong Petitie om 16- en 17-jarigen stemrecht te geven in EU referendum in VK: https://www.change.org/p/david-cameron-mp-allow-16-and-17-year-olds-to-vote-in-the-eu-referendum-3 …
Wed Dec 09 13:49:26 CET 2015;Harryslaststand;289;257;The moment David Cameron stops dining with arms merchants is the moment I say Corbyn stops breaking bread with #stopthewarcoalition
Wed Dec 09 13:18:27 CET 2015;a_jongerius;9;0;@EU_Commission negeert uitkomsten van studie over uitbuiting. Niet @JunckerEU maar @David_Cameron bepaalt de agenda http://bit.ly/1Ni0RSO 
Wed Dec 09 11:49:53 CET 2015;KremlinRussia_E;107;73;Telephone conversation with British Prime Minister David Cameron http://bit.ly/1RDZpQ6 
Wed Dec 09 11:00:37 CET 2015;wwf_uk;94;43;Urge @David_Cameron to call for #COP21 deal that increases action pre-2020. We can't afford to wait! Please RT. pic.twitter.com/9CTlNNN8Ry
Wed Dec 09 08:19:03 CET 2015;noorderschrift;0;0;Speech van David Cameron en column v @robdewijk zijn aanleiding voor #GKsemantiekprijs 2015: http://www.noorderschrift.nl/gk-semantiekprijs-2015-opdracht/ … pic.twitter.com/fkBaNlRzXx
Wed Dec 09 03:07:03 CET 2015;DCameronFG;120;156;After thinking about it for a few minutes, Shelby Miller trade is Erik Bedard trade. Team gets good pitcher in trade they'll regret quickly.
Wed Dec 09 01:44:13 CET 2015;DCameronFG;72;107;The Cubs are going to be really good again next year.
Wed Dec 09 00:55:13 CET 2015;TheVujanic;75;65;ahahahahha David Cameron - You Aint No Muslim Bruv https://soundcloud.com/nasty-mcquaid/david-cameron-you-aint-no-muslim-bruv-snippet?utm_source=soundcloud&utm_campaign=wtshare&utm_medium=Twitter&utm_content=https://soundcloud.com/nasty-mcquaid/david-cameron-you-aint-no-muslim-bruv-snippet …
Tue Dec 08 23:37:41 CET 2015;SwearingSport;81;108;The sky is blue, water is wet and David Cameron is a pig shagging nonce https://twitter.com/skysportsnewshq/status/674355989739642881 …
Tue Dec 08 19:38:10 CET 2015;KTroubleyn;0;0;#Lestip #Engels: waarom is dit zo shockerend? David #Cameron waagt zich aan "slang", Britten happen naar adem http://deredactie.be/cm/vrtnieuws/ookdatnog/1.2517703 …
Tue Dec 08 19:20:51 CET 2015;LadyAodh;130;89;Anti-White #cuckservative @David_Cameron is attacking @realDonaldTrump for his pro-female immigration policy. #Trump pic.twitter.com/3BxgLWRPpV
Tue Dec 08 16:49:06 CET 2015;Elsevier;5;0;'David Cameron heeft stiekeme EU-steun bij zijn strijd tegen het uitkeringstoerisme': http://buff.ly/1YWwnx9  pic.twitter.com/z96JQh8U2Z
