UserName;Date;Favorites;Retweets;Text
Barkeronthebox;Sat Apr 11 01:57:27 CEST 2015;0;0;Was @David_Cameron in #Barnstaple today? Looked very much like #TeaByTheTaw on @SkyNews #pressreview ! #creamtea
larkinthemorn;Sat Apr 11 01:55:16 CEST 2015;1;0;@SimonO19 @The45Storm @OxMailHalliwell @David_Cameron fear is the key ...
SlashWilko;Sat Apr 11 01:52:10 CEST 2015;1;1;@watt_shane @David_Cameron @rupertmurdoch I've been followin #auspol avidly-you have some more pain to come #VivaLaRevolucion worldwide!!
watt_shane;Sat Apr 11 01:49:26 CEST 2015;1;1;@SlashWilko @David_Cameron @rupertmurdoch same feckin family tree as our grub abbott , dont need no dna test
SlashWilko;Sat Apr 11 01:47:07 CEST 2015;1;1;Even Australia hates you @David_Cameron and your mate @rupertmurdoch https://twitter.com/watt_shane/status/586676167647694849 …
ukbloc;Sat Apr 11 01:39:14 CEST 2015;0;0;5 years of battering NHS & all of a sudden @David_Cameron wants to put extra £8bn in?Couldnt be anything to do with upcoming election? #nhs
Newsminster;Sat Apr 11 01:24:38 CEST 2015;0;1;#GE2015: David Starkey: why @Ed_Miliband is 'poison' and @David_Cameron 'muddle-headed' http://bit.ly/1CBzPiQ  pic.twitter.com/cYOzylO20W
SteveJHarris;Sat Apr 11 01:23:03 CEST 2015;0;0;I think Lynton Crosby and @David_Cameron probably deserve each other. #amoral
MazurekRob;Sat Apr 11 01:21:23 CEST 2015;0;0;@pmharper @David_Cameron @FreeRadioRevolu Police state legislation like Bill C-51 will never censor Truth regarding orchestrated false-flags
windsor_king;Sat Apr 11 01:21:06 CEST 2015;0;0;@David_Cameron I advise no criminal charges against Justin Bieber in Argentina "HRM the King" Ryan Stuart Hanover Windsor of the U.K
stephen501;Sat Apr 11 01:17:28 CEST 2015;0;0;@hello2youz @SunPolitics @David_Cameron no lets get it straight he lied like Major before him
der_bluthund;Sat Apr 11 01:14:01 CEST 2015;6;32;And much of the child raping was done by @David_Cameron's chums... #OpDeathEaters https://twitter.com/OpDeathEatersUK/status/586660444070350848 …
1davemed;Sat Apr 11 01:11:56 CEST 2015;1;0;@Greekboy8 @David_Cameron @EricPickles No chance of either of those statements happening.
lazaru5;Sat Apr 11 01:11:55 CEST 2015;0;0;. @David_Cameron why are the UK in Ukraine? Is this a good use of taxpayers money? Who gave the authority? @Loveussr @falluja05 @SputnikInt
SteveJHarris;Sat Apr 11 01:11:42 CEST 2015;1;2;With @David_Cameron running the dirtiest election campaign in my lifetime it is clear the people are looking elsewhere.
KangManjit;Sat Apr 11 01:04:18 CEST 2015;3;5;@David_Cameron's #vaisakhi2015 message to #Sikhs around the world. https://m.youtube.com/watch?v=HLll4XFgNVo …
CAWJOBLINK;Sat Apr 11 01:03:38 CEST 2015;0;0;.Hmm for @David_Cameron "Shutuppa Your Face" by Joe Dolce..quite a collection
atm0spheric;Sat Apr 11 01:01:22 CEST 2015;0;0;@stephen501 @Janiete @David_Cameron @Ed_Miliband Remember this is a pre-election Tory pledge. They can be misleading. http://www.youtube.com/watch?v=nH2EmVGowCk …
SonicNarcotic;Sat Apr 11 00:58:19 CEST 2015;2;4;. @David_Cameron During the floods last year you sacked 550 environment workers and cut money in flood defences https://youtu.be/8rEXi81qjx8 
dava68rich;Sat Apr 11 00:57:29 CEST 2015;1;1;@David_Cameron pic.twitter.com/SQJzbPrah6
Mabe_666;Sat Apr 11 00:57:07 CEST 2015;0;1;@watchitlad @David_Cameron Agree with you but Tory lot interpret all starters as Apprenticeships. Excuse for slave wages & Apprentice boast.
dava68rich;Sat Apr 11 00:56:49 CEST 2015;0;0;@David_Cameron one day four nation tour of the UK. Another offensive and crass waste of money! How much did this stunt cost in total?
sunshinemel629;Sat Apr 11 00:56:22 CEST 2015;0;1;@OpDeathEatersUK @David_Cameron @BBCNews Tx teachers lose cert for failing to protect children if don't report suspicion w/in 24 hours.
nick_scales;Sat Apr 11 00:55:21 CEST 2015;0;1;@CanadianGreens Hey @pmharper @David_Cameron wanted @TheGreenParty in UK debates - so play fair Canada. #VoteGreen2015 #GreenSurge
Nat_Worst;Sat Apr 11 00:53:50 CEST 2015;0;2;@Ian_Fraser @DerekCarlyle @David_Cameron @efgbricklayer I'm sure Tory front bench can scrape the bail between them #helpyourbuddies
TheRichardSells;Sat Apr 11 00:53:22 CEST 2015;0;0;FAO English voters: remember @David_Cameron said it was Scots that put the Great into Great Britain. The English didn't, according to him.
SebWrites;Sat Apr 11 00:50:06 CEST 2015;0;0;#Politics #Inspiring #News @David_Cameron #AusterityDoesNotWork Choose... "hope" over 'fear!' http://ow.ly/Lqrd9 
eveningnew;Sat Apr 11 00:48:14 CEST 2015;0;1;@SimonO19 Astounded by the apparent influence and power @_Liam_Walker_ wields. Makes no sense,none. @OxMailHalliwell @David_Cameron
